,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Oussouye,20,SN,1562364878,74,12.49,-16.54,28.0,3.1
1,Busselton,100,AU,1562364878,84,-33.64,115.35,7.22,8.43
2,Abu Kamal,0,SY,1562364878,14,34.45,40.92,30.65,4.02
3,Mapiripan,100,CO,1562364879,95,2.89,-72.13,23.15,3.78
4,Atuona,11,PF,1562364879,79,-9.8,-139.03,27.35,8.82
5,Iqaluit,90,CA,1562364879,93,63.75,-68.52,5.0,2.1
6,Biryusinsk,100,RU,1562364879,98,55.96,97.82,14.85,2.29
7,Kawalu,100,ID,1562364879,98,-7.38,108.21,19.35,1.52
8,Pisco,90,PE,1562364720,30,-13.71,-76.2,22.0,3.6
9,Grand Gaube,40,MU,1562364880,73,-20.01,57.66,22.0,2.1
10,Sorong,61,ID,1562364623,96,-0.86,131.25,22.95,2.57
11,Albany,75,US,1562364880,38,42.65,-73.75,33.0,6.2
12,Rikitea,100,PF,1562364880,70,-23.12,-134.97,20.25,11.63
13,Punta Arenas,0,CL,1562364880,75,-53.16,-70.91,5.56,8.2
14,Victoria,75,BN,1562364881,88,5.28,115.24,26.0,0.5
15,Bredasdorp,0,ZA,1562364646,87,-34.53,20.04,8.0,2.6
16,Klaksvik,97,FO,1562364881,81,62.23,-6.59,8.0,7.2
17,Mataura,60,NZ,1562364881,93,-46.19,168.86,7.22,0.89
18,Broome,0,GB,1562364881,87,52.47,1.45,19.44,2.6
19,Antofagasta,20,CL,1562364617,71,-23.65,-70.4,14.0,3.6
20,Derzhavinsk,33,KZ,1562364882,39,51.1,66.31,22.15,5.25
21,Xai-Xai,7,MZ,1562364882,80,-25.04,33.64,19.45,4.71
22,Avarua,45,CK,1562364882,77,-21.21,-159.78,21.0,4.6
23,Ushuaia,75,AR,1562364651,80,-54.81,-68.31,4.0,3.1
24,Providencia,40,CO,1562364882,61,1.24,-77.6,25.0,2.1
25,Meulaboh,100,ID,1562364882,81,4.14,96.13,27.65,4.27
26,Butaritari,0,KI,1562364636,71,3.07,172.79,28.85,2.88
27,Sinnamary,100,GF,1562364883,83,5.38,-52.96,26.65,5.36
28,Lebu,75,ET,1562364883,83,8.96,38.73,15.95,0.54
29,Margate,20,AU,1562364883,93,-43.03,147.26,4.44,3.6
30,Bambous Virieux,40,MU,1562364883,73,-20.34,57.76,22.0,2.1
31,Esperance,29,AU,1562364883,93,-33.86,121.89,5.0,5.7
32,Port-Gentil,75,GA,1562364884,94,-0.72,8.78,23.0,3.1
33,Tiksi,100,RU,1562364667,91,71.64,128.87,3.05,2.92
34,Jamestown,19,AU,1562364884,69,-33.21,138.6,12.95,6.44
35,Saint-Joseph,0,FR,1562364884,83,43.56,6.97,27.0,1.0
36,Deputatskiy,53,RU,1562364884,83,69.3,139.9,8.95,2.4
37,Te Anau,100,NZ,1562364732,85,-45.41,167.72,5.75,1.22
38,Dudinka,0,RU,1562364885,70,69.41,86.18,9.0,11.0
39,Quelimane,20,MZ,1562364885,83,-17.88,36.89,22.0,2.1
40,Lillooet,90,CA,1562364885,93,50.69,-121.94,17.0,1.37
41,Georgetown,90,GY,1562364599,100,6.8,-58.16,25.0,3.1
42,Qaanaaq,22,GL,1562364639,57,77.48,-69.36,6.15,1.56
43,Misratah,0,LY,1562364885,77,32.38,15.09,26.25,4.29
44,Davila,99,PH,1562364886,80,18.47,120.58,28.05,8.37
45,Tigil,77,RU,1562364665,56,57.8,158.67,15.15,2.08
46,Kinston,1,US,1562364886,69,35.26,-77.58,29.44,6.2
47,Ribeira Grande,20,PT,1562364886,77,38.52,-28.7,21.0,1.0
48,Airai,0,TL,1562364886,80,-8.93,125.41,17.75,2.4
49,Bluff,100,AU,1562364647,86,-23.58,149.07,15.45,9.9
50,Sabla,68,NG,1562364886,42,12.75,4.71,32.05,3.37
51,Leningradskiy,94,RU,1562364887,60,69.38,178.42,13.95,4.58
52,Port Hardy,20,CA,1562364887,72,50.7,-127.42,17.0,3.1
53,Yinchuan,0,CN,1562364887,33,38.48,106.21,16.35,2.99
54,Ust-Nera,7,RU,1562364887,52,64.57,143.24,11.85,0.72
55,Cowra,0,AU,1562364887,87,-33.84,148.69,6.67,4.47
56,Cooma,90,AU,1562364888,96,-36.24,149.13,0.0,1.0
57,Punta Gorda,1,US,1562364888,74,26.93,-82.05,32.22,2.1
58,Tuktoyaktuk,75,CA,1562364888,77,69.44,-133.03,15.0,4.6
59,Flinders,90,AU,1562364888,100,-34.58,150.85,13.89,0.5
60,Nome,1,US,1562364888,62,30.04,-94.42,35.0,3.6
61,Chatellerault,0,FR,1562364889,47,46.8,0.53,25.56,2.6
62,Severo-Kurilsk,100,RU,1562364889,95,50.68,156.12,6.25,7.94
63,Kirakira,91,SB,1562364889,84,-10.46,161.92,25.45,2.45
64,Camacha,20,PT,1562364889,72,33.08,-16.33,21.0,3.6
65,Pevek,0,RU,1562364889,68,69.7,170.27,7.55,10.03
66,Dikson,0,RU,1562364890,83,73.51,80.55,2.85,6.66
67,Mar del Plata,0,AR,1562364890,73,-46.43,-67.52,4.85,7.93
68,Mugur-Aksy,51,RU,1562364890,83,50.38,90.44,4.15,1.67
69,Barrow,0,AR,1562364890,61,-38.31,-60.23,3.15,1.88
70,Nanyuki,15,KE,1562364890,79,0.01,37.07,13.95,5.83
71,Vaini,100,IN,1562364890,88,15.34,74.49,25.25,3.64
72,Beckley,1,US,1562364891,41,37.78,-81.19,33.0,2.36
73,Bukama,0,CD,1562364891,38,-9.2,25.85,19.15,0.76
74,Madanapalle,100,IN,1562364891,64,13.56,78.5,24.65,8.48
75,Veraval,0,FR,1562364891,63,49.65,0.71,19.44,3.1
76,Cape Town,75,ZA,1562364646,87,-33.93,18.42,13.89,5.7
77,New Norfolk,20,AU,1562364891,93,-42.78,147.06,4.44,3.6
78,Komsomolskiy,94,RU,1562364892,61,67.55,63.78,16.95,5.17
79,Saint-Philippe,75,CA,1562364892,78,45.36,-73.48,30.0,2.1
80,Provideniya,100,RU,1562364892,87,64.42,-173.23,10.85,1.66
81,Kapaa,40,US,1562364892,74,22.08,-159.32,28.33,3.6
82,Bowen,90,AU,1562364819,93,-20.01,148.25,19.44,4.6
83,Manokwari,96,ID,1562364892,72,-0.87,134.08,23.25,2.24
84,Sao Filipe,24,CV,1562364644,85,14.9,-24.5,23.05,7.72
85,Port Alfred,0,ZA,1562364647,79,-33.59,26.89,11.67,4.02
86,Karaton,20,ID,1562364893,88,-6.34,106.1,25.0,0.5
87,Berdigestyakh,100,RU,1562364827,97,62.1,126.7,11.05,2.71
88,Thompson,75,CA,1562364893,42,55.74,-97.86,20.0,3.1
89,Avera,75,US,1562364893,88,33.19,-82.53,32.0,4.1
90,Paamiut,2,GL,1562364893,76,61.99,-49.67,7.15,6.48
91,Pastavy,69,BY,1562364894,84,55.11,26.84,8.95,5.34
92,East London,0,ZA,1562364894,72,-33.02,27.91,9.35,3.47
93,Cabo San Lucas,5,MX,1562364784,36,22.89,-109.91,37.22,3.1
94,Kanniyakumari,100,IN,1562364894,85,8.08,77.57,27.35,7.26
95,Muros,0,ES,1562364894,82,42.77,-9.06,18.89,1.5
96,Litovko,67,RU,1562364894,93,49.24,135.18,18.05,0.93
97,Yanam,100,IN,1562364894,87,16.73,82.22,25.35,6.4
98,Trincomalee,100,LK,1562364895,73,8.58,81.23,26.65,3.86
99,Upernavik,100,GL,1562364895,80,72.79,-56.15,5.55,3.25
100,Haimen,0,CN,1562364895,87,31.87,121.18,26.11,2.52
101,Namibe,40,AO,1562364895,78,-15.19,12.15,20.85,1.1
102,Hasaki,75,JP,1562364663,94,35.73,140.83,20.0,4.6
103,Nikolskoye,40,RU,1562364896,93,59.7,30.79,11.11,3.0
104,Lorengau,39,PG,1562364733,81,-2.02,147.27,25.95,1.48
105,Lagoa,0,PT,1562364896,77,37.14,-8.45,20.56,4.1
106,Tolaga Bay,98,NZ,1562364896,95,-38.37,178.3,6.05,2.2
107,Puerto Ayora,20,EC,1562364896,65,-0.74,-90.35,26.0,7.7
108,Boca do Acre,23,BR,1562364896,52,-8.76,-67.39,32.15,0.72
109,Eldama Ravine,0,KE,1562364897,87,0.05,35.72,14.0,1.0
110,Patea,47,NZ,1562364897,70,-39.76,174.48,10.56,0.89
111,Chikwawa,0,MW,1562364897,67,-16.03,34.79,15.65,0.76
112,Silver City,40,US,1562364897,21,32.77,-108.28,30.0,3.1
113,Murray Bridge,0,AU,1562364897,72,-35.12,139.28,16.67,3.13
